time,x,y,v
0.00,50.20,38.19,20.70
0.02,49.66,38.24,25.72
0.03,49.17,38.29,36.57
0.05,48.63,38.34,36.17
0.07,48.13,38.39,31.84
0.08,47.59,38.44,31.43
0.10,47.09,38.49,37.28
0.12,46.54,38.54,31.45
0.14,46.04,38.58,31.94
0.15,45.50,38.64,36.47
0.17,45.00,38.68,37.08
0.19,44.45,38.73,31.24
0.20,43.95,38.78,31.74
0.22,43.39,38.83,36.27
0.24,42.89,38.88,31.84
0.26,42.34,38.93,31.24
0.27,41.84,38.98,37.27
0.29,41.28,39.03,36.87
0.31,40.78,39.08,32.26
0.32,40.23,39.13,37.23
0.34,39.72,39.18,37.54
0.36,39.18,39.25,31.72
0.37,38.66,39.35,31.91
0.39,38.14,39.47,36.76
0.41,37.64,39.62,31.44
0.43,37.14,39.80,31.13
0.44,36.67,40.01,36.45
0.46,36.20,40.25,36.12
0.48,35.77,40.51,31.15
0.49,35.33,40.80,35.77
0.51,34.94,41.11,36.05
0.53,34.53,41.45,30.50
0.54,34.18,41.80,30.82
0.56,33.82,42.19,35.37
0.58,33.51,42.58,30.79
0.60,33.20,43.01,30.36
0.61,32.94,43.43,35.96
0.63,32.69,43.90,35.60
0.65,32.48,44.34,31.01
0.66,32.28,44.83,35.68
0.68,32.13,45.30,36.06
0.70,31.99,45.81,30.39
0.71,31.89,46.30,30.75
0.73,31.82,46.82,35.27
0.75,31.78,47.31,30.50
0.77,31.77,47.84,30.12
0.78,31.79,48.33,35.87
0.80,31.84,48.85,35.42
0.82,31.92,49.33,30.95
0.83,32.04,49.85,35.58
0.85,32.16,50.32,36.02
0.87,32.28,50.84,30.35
0.88,32.39,51.32,31.01
0.90,32.50,51.84,35.72
0.92,32.60,52.33,31.38
0.94,32.71,52.87,31.07
0.95,32.82,53.36,36.89
0.97,32.93,53.90,36.40
0.99,33.03,54.39,31.87
1.00,33.14,54.92,36.36
1.02,33.25,55.41,36.87
1.04,33.36,55.95,31.07
1.05,33.46,56.44,31.46
1.07,33.57,56.98,35.95
1.09,33.68,57.47,31.46
1.11,33.79,58.00,30.97
1.12,33.89,58.49,36.97
1.14,34.00,59.03,36.66
1.16,34.11,59.52,32.19
1.17,34.22,60.06,36.87
1.19,34.32,60.56,37.38
1.21,34.44,61.10,31.46
1.22,34.54,61.60,37.38
1.24,34.66,62.14,36.97
1.26,34.76,62.64,32.28
1.27,34.87,63.18,31.87
1.29,34.98,63.68,37.99
1.31,35.09,64.22,32.09
1.33,35.20,64.72,32.58
1.34,35.31,65.27,37.31
1.36,35.42,65.77,37.79
1.38,35.53,66.32,31.70
1.39,35.64,66.82,38.03
1.41,35.75,67.37,37.52
1.43,35.86,67.87,32.91
1.44,35.98,68.43,32.50
1.46,36.08,68.93,38.64
1.48,36.20,69.48,32.48
1.50,36.30,69.99,32.83
1.51,36.42,70.54,37.83
1.53,36.52,71.06,38.13
1.55,36.59,71.60,32.08
1.56,36.63,72.13,37.61
1.58,36.65,72.68,37.33
1.60,36.63,73.20,32.13
1.61,36.59,73.74,31.63
1.63,36.51,74.25,37.24
1.65,36.39,74.78,31.48
1.67,36.25,75.26,31.69
1.68,36.07,75.77,36.37
1.70,35.88,76.24,36.73
1.72,35.64,76.72,30.91
1.73,35.39,77.16,36.49
1.75,35.10,77.61,36.22
1.77,34.80,78.01,31.41
1.78,34.46,78.42,31.10
1.80,34.11,78.79,36.82
1.82,33.72,79.15,31.16
1.84,33.33,79.47,31.35
1.85,32.90,79.79,35.97
1.87,32.48,80.06,36.31
1.89,32.02,80.32,30.56
1.90,31.57,80.53,36.20
1.92,31.07,80.73,35.91
1.94,30.60,80.89,31.24
1.95,30.09,81.04,30.88
1.97,29.60,81.14,36.51
1.99,29.08,81.22,30.88
2.01,28.58,81.26,31.10
2.02,28.05,81.27,35.74
2.04,27.55,81.26,36.16
2.06,27.03,81.21,30.58
2.07,26.54,81.14,36.21
2.09,26.00,81.08,36.10
2.11,25.50,81.03,31.73
2.12,24.97,80.99,31.31
2.14,24.46,80.95,37.33
2.16,23.91,80.90,31.82
2.18,23.41,80.86,32.22
2.19,22.86,80.81,36.73
2.21,22.35,80.77,37.24
2.23,21.80,80.72,31.31
2.24,21.30,80.68,37.22
2.26,20.75,80.63,36.72
2.28,20.24,80.59,32.21
2.29,19.69,80.55,31.80
2.31,19.19,80.50,37.73
2.33,18.64,80.46,31.82
2.35,18.13,80.42,32.31
2.36,17.58,80.37,37.07
2.38,17.07,80.33,37.41
2.40,16.52,80.28,31.61
2.41,16.01,80.22,37.21
2.43,15.47,80.14,36.88
2.45,14.96,80.02,31.86
2.46,14.44,79.89,31.54
2.48,13.95,79.72,36.87
2.50,13.46,79.53,31.20
2.52,13.00,79.30,31.23
2.53,12.54,79.04,36.20
